plataforma;link_anuncio;titulo;preco;vendedor;avaliacao_nota;avaliacao_numero;descricao;categoria_produto;compatibilidade;capacidade;modelo_cartucho;rendimento_paginas;custo_por_pagina
magalu;https://www.magazineluiza.com.br/kit-de-cartuchos-originais-hp-667-xl-black-color/p/ka31begeg2/in/ctdt/;Kit De Cartuchos Originais Hp 667 Xl Black + Color;198.02;Magazine Luiza;4.4;10;Cartucho Original HP 667 XL blackCartucho Original HP 667 XL colorImprima os documentos e as fotos de alta qualidade que você precisa por um ótimo valor. Com cartuchos com preço muito acessível, obtenha tinta HP original por um preço acessível, além de resultados confiáveis e consistentes de cartuchos projetados com a impressora HP.Aproveite as vantagens da qualidade premium original HP a um custo acessível.Cause uma boa impressão com os cartuchos de tinta originais HP, projetados para proporcionar texto nítido e preciso.Imprima até duas vezes mais páginas em preto e em cores com os cartuchos de tinta originais HP de alto rendimento Conte com os cartuchos de tinta originais HP para obter desempenho de impressão. Ajude a garantir impressões nítidas e intensas em casa, na escola e no trabalho com cartuchos desenvolvidos e testados com a impressora HP e projetados para facilitar o uso.Escolha cartuchos de tinta originais HP especialmente desenvolvidos para funcionar com sua impressora HP.Conclua facilmente seus projetos. Alertas de baixo nível de tinta podem ajudar a garantir que você não fique sem tinta na hora errada.As tintas originais HP foram projetadas para ajudá-lo a imprimir com eficiência, sem comprometer a qualidade.Cartuchos originais HP que se encaixam na maneira como você vive, trabalha e imprime. Conte com resultados consistentes de alta qualidade e com a facilidade para repetir o pedido que você espera da HP em casa ou em qualquer lugar.• Preto• Tinta• Cartuchos de tinta de alta capacidadeImpressoras compatíveis:1275 / 2374 / 2375 / 2376 / 2775 / 2776 / 6475 / 6476Informações Legais:Marcas e Modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos. Decorre de necessidade legal, além de ser previsto em lei que não pode haver impedimento para tal, conforme o Art. 31 do Código de Defesa do Consumidor (Lei no. 8.078/90) e Art. 132, inciso II, da Lei da Propriedade Industrial (no. 9.279/96), que são leis federais e seguem transcritos tais dispositivos:Art. 31 do CDC (Lei no. 8.078/90): “A oferta e apresentação de produtos e serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidade, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentem à saúde e segurança dos consumidores.”Art. 132, inciso II da LPI (no. 9.279/96): O titular da marca não poderá: (...) II- impedir que fabricantes de acessórios utilizem a marca para indicar a destinação do produto, desde que obedecidas ás práticas leais de concorrência”.The brands cited in the ad belong to their respective manufacturers. Only mentioned as references for the correct use of the product, as Article 31 of the Act: 8078 of 11.09.1990.Rendimento médio informado conforme Norma ISO/IEC 19752.Imagens meramente ilustrativas.;Suprimento de Impressão;Original;XL (Alto Rendimento);667;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-60-colorido-original/p/203367700/in/ctdt/;Cartucho de Tinta HP 60 Colorido - Original;145.49;Magazine Luiza;4.7;311;Imprima com facilidade documentos em cores vivas, relatórios e cartas a um preço acessível. Veja imagens e fotos com detalhes minuciosos. Este cartucho original da HP foi projetado para proporcionar características fáceis de usar e desempenho consistente e confiável. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;Outro;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-662-preto-original/p/136099600/in/ctdt/;Cartucho de Tinta HP 662 Preto - Original;52.38;Magazine Luiza;4.7;1260;Tenha a qualidade da HP que você conhece! Imprima documentos todos os dias com texto e gráficos claros e reduza os custos de impressão com os cartuchos de tinta HP originais. Este cartucho utiliza a tecnologia proprietária comprovada de tinta preta com pigmento para imprimir documentos em preto-e-branco por menos, tudo isso com destaque ecológico: até 70% de material reciclado em 662 corpos de cartucho, e é reciclável com Planet Partners. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;662;;
magalu;https://www.magazineluiza.com.br/kit-cartucho-de-tinta-hp-colorido-664-original-cartucho-de-tinta-hp-preto/p/229879500/in/ctdt/;Kit Cartucho de Tinta HP Colorido 664 - Original + Cartucho de Tinta HP Preto;118.33;Magazine Luiza;3.4;19;Imprima todas as suas fotos e documentos com cores mais nítidas, pretos mais intensos e durabilidade superlativa usando os cartuchos de tinta HP originais. Dê as suas idéias mais vida, otimizando recursos com a qualidade e confiabilidade que você só obtém com a HP. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta. Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;Padrão;664;;
magalu;https://www.magazineluiza.com.br/garrafa-de-tinta-hp-gt53-preto-original/p/224904400/in/gfdt/;Garrafa de Tinta HP GT53 Preto - Original;50.04;Magazine Luiza;4.8;49;As garrafas de tinta são usadas para recarregar as impressoras que utilizam tanque de tinta para fazerem as suas impressões, fazendo com que você possa imprimir o que precisar, sem se preocupar com o valor dos cartuchos. O modelo GT53 da HP possui qualidade e desempenho premium que somente as tintas originais da HP tem. Ela é desenvolvida para que você tenha sempre a qualidade confiável e resultados impressionantes em suas impressões, pois suas cores são vibrantes e deixam seus textos nítidos. Disponível na cor preta, cada garrafa possui 90ml e podem imprimir até 4000 páginas.;Suprimento de Impressão;Original;Padrão;Outro;4000.0;0.01251
magalu;https://www.magazineluiza.com.br/garrafa-de-tinta-hp-amarelo-gt52-original/p/217276800/in/gfdt/;Garrafa de Tinta HP Amarelo GT52 Original;51.66;Magazine Luiza;4.6;20;Imprima cores profissionais página após página e economize com as garrafas de tinta HP. Produza documentos e materiais de marketing realísticos com excelentes cores vibrantes por um menor custo por página, e recicle facilmente seus cartuchos. Assegure resultados de alta qualidade e confiáveis em cada impressão. Use tintas originais HP e impressionantes recursos de confiabilidade para ter consistência página após página, sem preocupações.;Suprimento de Impressão;Original;Padrão;Outro;;
magalu;https://www.magazineluiza.com.br/kit-cartuchos-hp-667-xl-black-color-originais/p/af9k379eeh/in/ctdt/;Kit Cartuchos hp 667 xl Black + Color Originais;211.3;Magazine Luiza;4.5;14;Kit com duas unidades sendo uma Black e uma Color xl de alto rendimento. Recomendado para uso nas maquinas: Deskjet Ink Advantage 1275/2374/2375/2376/2775/2776/6475/6476• Informações Legais:Marcas e Modelos são citados apenas para melhor compreensão dos clientes e como referência técnica para utilização correta dos produtos. Decorre de necessidade legal, além de ser previsto em lei que não pode haver impedimento para tal, conforme o Art. 31 do Código de Defesa do Consumidor (Lei no. 8.078/90) e Art. 132, inciso II, da Lei da Propriedade Industrial (no. 9.279/96), que são leis federais e seguem transcritos tais dispositivos:Art. 31 do CDC (Lei no. 8.078/90): “A oferta e apresentação de produtos e serviços devem assegurar informações corretas, claras, precisas, ostensivas e em língua portuguesa sobre suas características, qualidade, quantidade, composição, preço, garantia, prazos de validade e origem, entre outros dados, bem como sobre os riscos que apresentem à saúde e segurança dos consumidores.”Art. 132, inciso II da LPI (no. 9.279/96): O titular da marca não poderá: (...) II- impedir que fabricantes de acessórios utilizem a marca para indicar a destinação do produto, desde que obedecidas ás práticas leais de concorrência”.The brands cited in the ad belong to their respective manufacturers. Only mentioned as references for the correct use of the product, as Article 31 of the Act: 8078 of 11.09.1990.Rendimento médio informado conforme Norma ISO/IEC 19752.Imagens meramente ilustrativas.;Suprimento de Impressão;Original;XL (Alto Rendimento);667;;
magalu;https://www.magazineluiza.com.br/cartucho-de-tinta-hp-667xl-preto-original/p/227961400/in/ctdt/;Cartucho de Tinta HP 667XL Preto Original;120.51;Magazine Luiza;4.8;419;Com o Cartucho de Tinta HP 667XL Preto você poderá imprimir todos os seus documentos com alta qualidade e excelente custo-benefício. Com capacidade de 8,5ml, ele traz tinta original HP que garante tons mais brilhantes e rendimento para impressão de até 480 páginas. Além disso, este cartucho possui proteção contra fraude e alertas de pouca tinta. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Cartucho de tinta, Imprima texto nítido e cores intensas com os cartuchos de tinta originais HP projetados para oferecer impressões de qualidade em casa, na escola e em pequenas empresas. Com cartuchos muito baratos, obtenha tinta HP original por um preço acessível.;Suprimento de Impressão;Original;XL (Alto Rendimento);Outro;480.0;0.2510625
magalu;https://www.magazineluiza.com.br/cartucho-hp-664xl-preto-original-2676-3776-4676/p/jbc906054j/in/ctdt/;Cartucho Hp 664xl Preto Original 2676 3776 4676;112.77;Magazine Luiza;4.1;29;PARA UTILIZAÇÃO NAS SEGUINTES IMPRESSORAS HP Deskjet Ink Advantage 1115 HP Deskjet Ink Advantage 2130 HP Deskjet Ink Advantage 2135 HP Deskjet Ink Advantage 2136 HP Deskjet Ink Advantage 2600 SIM Multifuncional HP Deskjet Ink Advantage 2675 HP Deskjet Ink Advantage 2676 HP Deskjet Ink Advantage 3635 HP Deskjet Ink Advantage 3636 HP Deskjet Ink Advantage 3700 HP Deskjet Ink Advantage 3836 HP Deskjet Ink Advantage 3775 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet Ink Advantage 4535 HP Deskjet Ink Advantage 4536 HP Deskjet Ink Advantage 4675 HP Deskjet Ink Advantage 4676 HP Deskjet Ink Advantage 5076 HP Deskjet Ink Advantage 5276;Suprimento de Impressão;Original;XL (Alto Rendimento);Outro;;
magalu;https://www.magazineluiza.com.br/tinta-gt53-e-gt52-kit-com-4-cores-para-5800-5810-5820-gt5822-original/p/dj82g581c0/in/gfdt/;Tinta gt53 e gt52 kit com 4 cores para 5800 5810 5820 gt5822 - ORIGINAL;113.91;Magazine Luiza;5.0;7;Tinta gt53 e gt52 kit com 4 cores para 5800 5810 5820 gt5822 Contém no Kit: 1 Refil de Tinta GT53 Black 90ml 1 Refil de Tinta GT52 magenta 70ml 1 Refil de Tinta GT52 ciano 70ml 1 Refil de Tinta GT52 yellow 70ml TIPO DE TINTA -Preta pigmentada -Color a base de corante Compatibilidade: Impressora Tanque 116 Impressora Multifuncional DeskJet GT 5810 Impressora Multifuncional DeskJet GT 5820 Impressora Multifuncional DeskJet GT 5822 Impressora Multifuncional Smart Tanque 514 Impressora Multifuncional Smart Tanque 532 Impressora Multifuncional Tanque 316 Impressora Multifuncional Tanque 412 Impressora Multifuncional Tanque 416 Impressora Multifuncional Tanque 514 Impressora Multifuncional Tanque 517 Impressora Multifuncional Tanque 617;Suprimento de Impressão;Original;Padrão;Outro;;
